ID,TotalAmount,MostRecent,NumberOfPurchases,PurchaseInterval
30692,1063,9/10/2006,7,113
30693,1014,11/12/2006,12,50
30694,599,10/11/2006,11,82
30695,722,12/15/2006,8,17
30696,1074,10/24/2006,11,69
30697,1564,8/22/2006,14,132
30698,993,3/17/2006,12,290
30699,1239,8/22/2006,13,132
30700,1099,7/3/2006,9,182
30701,1306,7/29/2006,14,156
30702,602,8/25/2006,8,129
30703,1065,10/26/2006,14,67
30704,992,6/14/2006,9,201
30705,465,11/29/2006,8,33
30706,1293,12/22/2006,14,10
30707,626,11/27/2005,6,400
30708,1028,6/1/2006,11,214
30709,777,12/11/2006,7,21
30710,1350,6/11/2006,14,204
30711,1265,5/13/2006,12,233
30712,465,1/13/2006,5,353
30713,1062,11/18/2005,9,409
30714,849,6/30/2006,9,185
30715,824,8/13/2006,11,141
30716,847,4/18/2006,8,258
30717,795,6/11/2006,11,204
30718,555,4/8/2006,7,268
30719,837,12/3/2006,10,29
30720,1106,6/3/2006,9,212
30721,1085,9/20/2006,13,103
30722,718,11/13/2006,8,49
30723,550,10/1/2005,8,457
30724,1556,8/4/2006,13,150
30725,468,11/20/2006,6,42
30726,673,10/15/2006,7,78
30727,750,1/8/2006,9,358
30728,761,8/12/2006,9,142
30729,1641,8/16/2006,14,138
30730,1654,9/12/2006,20,111
30731,302,11/8/2006,5,54
30732,1796,7/10/2006,15,175
30733,669,11/27/2005,7,400
30734,1019,11/7/2006,9,55
30735,843,11/7/2006,10,55
30736,1407,11/15/2006,14,47
30737,338,9/27/2005,5,461
30738,1581,11/26/2006,14,36
30739,1015,4/23/2006,9,253
30740,997,11/2/2005,8,425
30741,366,10/13/2006,4,80
30742,939,11/2/2006,9,60
30743,1298,11/12/2005,13,415
30744,874,10/20/2006,11,73
30745,656,9/13/2006,8,110
30746,676,11/28/2005,6,399
30747,1298,5/12/2006,11,234
30748,268,6/13/2006,4,202
30749,1022,10/24/2006,9,69
30750,1262,9/10/2006,11,113
30751,329,12/14/2006,6,18
30752,711,9/26/2006,6,97
30753,1175,10/19/2006,11,74
30754,1174,7/13/2006,12,172
30755,999,11/14/2006,11,48
30756,413,1/17/2006,4,349
30757,869,8/11/2006,11,143
30758,520,4/5/2006,5,271
30759,962,6/6/2006,11,209
30760,311,7/28/2006,8,157
30761,983,9/1/2006,10,122
30762,1224,11/1/2005,10,426
30763,1572,10/12/2006,15,81
30764,703,4/14/2006,8,262
30765,1301,12/6/2006,11,26
30766,990,9/18/2006,12,105
30767,533,8/18/2006,7,136
30768,799,7/8/2006,9,177
30769,1097,7/7/2006,11,178
30770,825,5/2/2006,8,244
30771,728,7/26/2006,7,159
30772,1062,7/2/2006,10,183
30773,1132,11/8/2006,12,54
30774,533,8/26/2006,8,128
30775,671,9/11/2005,7,477
30776,1431,9/8/2006,14,115
30777,1337,8/24/2006,14,130
30778,786,10/11/2005,9,447
30779,953,7/7/2006,9,178
30780,1196,10/2/2006,13,91
30781,1103,10/22/2006,12,71
30782,840,1/23/2006,7,343
30783,910,12/22/2006,11,10
30784,978,10/14/2005,8,444
30785,904,8/6/2006,11,148
30786,960,8/4/2006,9,150
30787,391,8/16/2006,5,138
30788,872,5/5/2006,7,241
30789,1227,10/11/2006,10,82
30790,737,11/20/2006,8,42
30791,764,4/19/2006,10,257
30792,749,5/23/2006,11,223
30793,937,11/15/2005,11,412
30794,674,10/6/2006,4,87
30795,867,11/23/2005,11,404
30796,1030,8/28/2006,12,126
30797,1626,11/30/2006,16,32
30798,780,6/1/2006,8,214
30799,650,7/30/2006,5,155
30800,750,2/21/2006,11,314
30801,1354,5/1/2006,13,245
30802,1022,11/24/2006,10,38
30803,753,9/12/2006,8,111
30804,792,7/25/2006,10,160
30805,1199,11/18/2006,15,44
30806,1121,10/4/2006,12,89
30807,1114,8/4/2006,10,150
30808,1153,9/5/2006,11,118
30809,1160,10/15/2005,10,443
30810,777,10/1/2005,9,457
30811,1290,12/28/2006,15,4
30812,758,9/11/2006,8,112
30813,1103,6/20/2006,11,195
30814,1088,8/5/2006,9,149
30815,935,1/1/2006,12,365
30816,1039,8/16/2006,10,138
30817,897,5/15/2006,11,231
30818,1031,9/8/2006,10,115
30819,893,8/30/2006,11,124
30820,1934,1/10/2006,18,356
30821,557,7/31/2006,6,154
30822,726,7/26/2006,9,159
30823,1654,8/18/2006,17,136
30824,944,7/3/2005,10,547
30825,1052,2/27/2006,12,308
30826,1090,5/5/2006,13,241
30827,1567,12/2/2006,15,30
30828,1229,10/8/2006,13,85
30829,971,7/12/2006,10,173
30830,366,11/3/2005,5,424
30831,688,8/19/2006,7,135
30832,1153,12/20/2006,11,12
30833,832,7/11/2006,10,174
30834,877,6/15/2006,7,200
30835,1015,6/14/2006,11,201
30836,503,8/13/2006,9,141
30837,936,9/24/2006,11,99
30838,514,12/5/2006,6,27
30839,943,11/24/2006,10,38
30840,853,11/8/2006,7,54
30841,728,8/20/2006,10,134
30842,1329,7/26/2006,14,159
30843,1134,12/26/2006,10,6
30844,1028,8/25/2006,9,129
30845,613,9/26/2005,7,462
30846,596,10/15/2006,6,78
30847,586,3/2/2006,7,305
30848,1167,8/31/2006,13,123
30849,578,2/10/2006,9,325
30850,1997,12/8/2006,18,24
30851,876,11/7/2006,9,55
30852,767,9/18/2006,8,105
30853,396,8/7/2006,4,147
30854,1008,10/31/2006,10,62
30855,1456,12/30/2006,15,2
30856,1230,6/12/2006,12,203
30857,947,10/25/2005,9,433
30858,1036,6/16/2006,10,199
30859,785,9/20/2005,10,468
30860,1006,1/25/2006,9,341
30861,729,8/27/2006,6,127
30862,690,10/20/2006,8,73
30863,858,12/17/2006,11,15
30864,1431,9/9/2006,16,114
30865,638,12/26/2005,6,371
30866,575,11/28/2006,12,34
30867,1024,7/31/2006,8,154
30868,1001,12/9/2006,11,23
30869,372,6/23/2005,5,557
30870,1493,11/21/2006,15,41
30871,942,9/19/2006,10,104
30872,1145,9/19/2006,15,104
30873,1130,12/18/2006,10,14
30874,610,12/26/2006,6,6
30875,1619,8/30/2006,15,124
30876,153,10/26/2006,3,67
30877,1016,12/22/2006,10,10
30878,434,7/30/2006,8,155
30879,1357,1/23/2006,12,343
30880,864,7/13/2006,10,172
30881,1335,8/3/2006,16,151
30882,1255,6/19/2006,10,196
30883,1362,5/3/2006,12,243
30884,1006,10/26/2005,9,432
30885,467,10/10/2006,6,83
30886,588,11/13/2006,8,49
30887,949,10/1/2006,14,92
30888,1062,7/22/2006,11,163
30889,700,10/21/2006,9,72
30890,1009,3/24/2006,9,283
30891,851,11/12/2005,11,415
30892,473,10/13/2006,7,80
30893,1087,10/4/2006,12,89
30894,536,11/7/2005,5,420
30895,607,12/20/2006,8,12
30896,1074,2/20/2006,12,315
30897,873,12/13/2006,10,19
30898,492,11/3/2006,8,59
30899,612,11/27/2006,6,35
30900,877,4/3/2006,9,273
30901,853,12/10/2006,10,22
30902,733,10/4/2006,12,89
30903,485,12/12/2005,3,385
30904,681,6/24/2005,6,556
30905,995,7/22/2006,8,163
30906,1458,9/15/2006,13,108
30907,648,8/2/2006,5,152
30908,230,9/15/2006,4,108
30909,773,6/9/2006,8,206
30910,1852,10/13/2006,19,80
30911,1000,7/1/2006,9,184
30912,1123,10/20/2006,12,73
30913,753,7/30/2006,9,155
30914,948,11/13/2006,8,49
30915,626,11/20/2006,7,42
30916,1042,11/13/2006,14,49
30917,983,8/27/2006,8,127
30918,527,9/15/2006,8,108
30919,691,10/6/2005,6,452
30920,604,11/14/2006,8,48
30921,1056,9/18/2006,13,105
30922,1383,11/5/2006,15,57
30923,1086,10/31/2006,9,62
30924,1041,6/6/2006,10,209
30925,1016,9/17/2005,7,471
30926,1297,7/15/2006,13,170
30927,570,9/17/2006,8,106
30928,542,11/4/2006,9,58
30929,868,5/17/2006,10,229
30930,1331,8/1/2006,12,153
30931,654,6/13/2006,6,202
30932,1010,11/24/2006,14,38
30933,763,10/7/2005,7,451
30934,1173,9/3/2006,12,120
30935,1231,8/24/2006,9,130
30936,802,5/18/2006,9,228
30937,1420,8/27/2006,14,127
30938,1686,12/30/2006,14,2
30939,1072,4/7/2006,9,269
30940,1024,5/20/2006,13,226
30941,427,8/21/2004,3,863
30942,782,8/7/2006,9,147
30943,651,7/27/2006,10,158
30944,673,6/26/2006,5,189
30945,903,8/31/2006,13,123
30946,1272,7/24/2006,13,161
30947,837,10/23/2006,8,70
30948,1226,9/25/2006,12,98
30949,625,2/25/2006,6,310
30950,1535,12/13/2006,14,19
30951,1106,12/19/2006,12,13
30952,1270,6/14/2006,12,201
30953,1021,6/6/2006,10,209
30954,744,6/10/2006,6,205
30955,1106,10/25/2006,9,68
30956,1005,5/27/2006,11,219
30957,503,5/15/2005,4,596
30958,589,2/19/2006,7,316
30959,699,9/10/2005,6,478
30960,931,5/27/2006,11,219
30961,817,6/13/2006,8,202
30962,642,10/23/2005,8,435
30963,1165,7/22/2006,12,163
30964,656,8/18/2006,6,136
30965,1415,12/14/2005,12,383
30966,1154,12/22/2006,12,10
30967,1241,10/21/2006,10,72
30968,794,5/14/2006,10,232
30969,2053,8/5/2006,15,149
30970,898,8/4/2006,10,150
30971,1381,6/20/2006,10,195
30972,542,4/20/2006,8,256
30973,1020,6/6/2006,11,209
30974,422,10/28/2005,6,430
30975,629,5/30/2006,4,216
30976,571,3/6/2006,4,301
30977,1702,10/1/2006,14,92
30978,1095,6/26/2006,10,189
30979,1028,6/25/2006,14,190
30980,1406,7/31/2006,12,154
30981,2021,8/2/2006,17,152
30982,639,6/25/2006,7,190
30983,881,6/3/2006,10,212
30984,1015,9/16/2006,11,107
30985,1003,10/23/2006,11,70
30986,1157,10/16/2006,12,77
30987,1781,12/11/2006,19,21
30988,918,6/28/2006,7,187
30989,542,7/6/2006,8,179
30990,605,2/4/2006,5,331
30991,746,7/11/2006,5,174
30992,1043,12/18/2005,9,379
30993,694,7/27/2006,8,158
30994,1214,10/24/2006,13,69
30995,872,8/21/2006,9,133
30996,1221,1/8/2006,14,358
30997,1511,9/30/2006,12,93
30998,368,8/10/2006,5,144
30999,446,12/20/2006,6,12
31000,284,9/21/2005,3,467
31001,368,7/12/2006,6,173
31002,1204,12/26/2006,13,6
31003,562,8/1/2006,6,153
31004,637,8/4/2005,6,515
31005,1100,8/7/2006,10,147
31006,688,7/14/2006,6,171
31007,1866,9/23/2006,18,100
31008,609,3/15/2006,7,292
31009,1186,6/15/2006,12,200
31010,1139,6/5/2006,11,210
31011,482,9/19/2006,9,104
31012,817,4/14/2006,8,262
31013,849,10/7/2006,10,86
31014,994,8/19/2006,9,135
31015,1262,10/11/2005,11,447
31016,773,1/11/2006,9,355
31017,1272,8/5/2006,10,149
31018,1083,10/22/2006,12,71
31019,780,11/16/2006,10,46
31020,1247,9/20/2006,13,103
31021,267,6/9/2006,5,206
31022,967,7/14/2006,11,171
31023,679,4/10/2006,7,266
31024,1593,5/29/2006,15,217
31025,682,12/20/2006,7,12
31026,1268,8/24/2006,15,130
31027,1565,4/29/2006,14,247
31028,1246,8/8/2006,12,146
31029,974,11/1/2006,7,61
31030,1467,9/23/2006,16,100
31031,941,6/10/2006,8,205
31032,1303,6/27/2006,11,188
31033,699,9/2/2006,5,121
31034,592,9/6/2006,8,117
31035,303,5/21/2006,6,225
31036,1029,11/8/2006,10,54
31037,1020,5/31/2006,9,215
31038,1289,8/25/2006,12,129
31039,1170,6/21/2006,13,194
31040,713,6/20/2006,7,195
31041,480,6/6/2006,5,209
31042,1006,12/18/2006,12,14
31043,980,11/6/2006,9,56
31044,1311,11/30/2006,9,32
31045,445,8/20/2005,5,499
31046,1097,11/10/2005,12,417
31047,1252,9/2/2006,14,121
31048,866,8/25/2006,9,129
31049,299,10/8/2006,5,85
31050,1464,7/21/2006,12,164
31051,1486,11/28/2006,12,34
31052,768,12/10/2005,9,387
31053,933,6/24/2006,7,191
31054,791,10/18/2006,11,75
31055,1643,11/8/2006,15,54
31056,831,5/10/2006,11,236
31057,481,5/22/2006,4,224
31058,589,9/16/2005,4,472
31059,700,11/5/2005,8,422
31060,1570,11/22/2006,11,40
31061,775,2/7/2006,9,328
31062,1229,9/24/2006,12,99
31063,502,6/7/2006,7,208
31064,612,10/30/2006,7,63
31065,696,7/24/2006,7,161
31066,911,12/20/2006,9,12
31067,1023,10/6/2006,9,87
31068,1143,8/25/2006,12,129
31069,1009,7/28/2006,13,157
31070,627,3/28/2006,8,279
31071,1101,10/17/2006,11,76
31072,1308,9/5/2006,12,118
31073,509,8/9/2006,9,145
31074,711,7/21/2006,8,164
31075,1383,7/7/2006,14,178
31076,649,5/15/2006,7,231
31077,1055,6/12/2006,10,203
31078,981,9/8/2006,11,115
31079,990,10/9/2006,11,84
31080,950,10/1/2006,9,92
31081,1030,7/31/2006,11,154
31082,561,7/6/2006,12,179
31083,1513,7/23/2006,11,162
31084,762,10/4/2006,12,89
31085,623,9/24/2006,7,99
31086,491,10/23/2005,6,435
31087,635,10/7/2006,7,86
31088,977,7/16/2006,8,169
31089,1116,9/28/2006,11,95
31090,1595,7/12/2006,15,173
31091,1418,9/17/2006,14,106
31092,1047,6/9/2006,12,206
31093,525,2/7/2006,4,328
31094,1139,11/2/2006,12,60
31095,900,8/30/2006,9,124
31096,695,7/17/2006,9,168
31097,549,6/10/2006,7,205
31098,1316,12/5/2006,13,27
31099,1004,9/1/2006,11,122
31100,709,7/26/2006,12,159
31101,1268,7/31/2006,17,154
31102,897,7/2/2006,12,183
31103,936,11/25/2006,13,37
31104,1128,8/24/2006,10,130
31105,966,7/31/2005,10,519
31106,567,10/2/2006,10,91
31107,1364,9/1/2006,12,122
31108,749,9/1/2006,10,122
31109,1140,11/29/2005,10,398
31110,995,1/23/2006,12,343
31111,1234,7/25/2006,10,160
31112,822,11/17/2006,9,45
31113,830,7/16/2006,10,169
31114,1375,12/28/2006,14,4
31115,1154,2/8/2006,13,327
31116,940,1/11/2006,9,355
31117,1188,5/26/2006,11,220
31118,731,10/10/2006,7,83
31119,1336,5/3/2006,13,243
31120,1080,2/2/2006,9,333
31121,978,9/14/2006,13,109
31122,1659,12/3/2006,13,29
31123,1205,5/22/2006,10,224
31124,1235,6/12/2006,10,203
31125,1153,11/25/2006,11,37
31126,536,5/21/2006,7,225
31127,963,12/5/2006,10,27
31128,595,11/22/2005,8,405
31129,543,11/17/2006,8,45
31130,649,12/1/2006,7,31
31131,132,7/29/2005,2,521
31132,1078,4/12/2006,9,264
31133,1154,11/21/2006,13,41
31134,1306,3/10/2006,15,297
31135,1038,3/31/2006,10,276
31136,668,7/12/2006,9,173
31137,1164,11/7/2006,9,55
31138,1382,6/4/2006,13,211
31139,406,11/11/2006,6,51
31140,1143,8/30/2006,10,124
31141,884,10/18/2006,9,75
31142,934,7/7/2006,11,178
31143,1251,8/20/2006,16,134
31144,1023,9/6/2006,8,117
31145,441,8/18/2006,7,136
31146,896,4/24/2006,6,252
31147,810,10/23/2006,11,70
31148,1105,5/9/2006,12,237
31149,1154,10/24/2006,10,69
31150,466,8/22/2006,8,132
31151,815,11/10/2005,11,417
31152,747,8/31/2006,7,123
31153,683,11/21/2005,7,406
31154,750,11/13/2005,9,414
31155,1078,2/11/2006,13,324
31156,749,12/17/2006,7,15
31157,533,6/27/2006,6,188
31158,824,2/16/2006,8,319
31159,821,9/11/2006,10,112
31160,815,6/23/2006,9,192
31161,1245,10/3/2006,14,90
31162,1556,4/21/2006,14,255
31163,570,9/2/2006,6,121
31164,1034,6/6/2006,10,209
31165,619,7/23/2006,8,162
31166,946,11/22/2006,11,40
31167,841,10/7/2006,10,86
31168,1150,10/7/2006,12,86
31169,816,10/2/2006,9,91
31170,612,8/15/2006,6,139
31171,1403,12/18/2006,13,14
31172,718,9/22/2006,8,101
31173,992,11/8/2006,10,54
31174,841,11/18/2006,10,44
31175,1352,10/22/2006,12,71
31176,651,11/11/2005,9,416
31177,904,8/22/2006,11,132
31178,438,8/2/2006,6,152
31179,779,9/9/2006,11,114
31180,833,6/14/2006,11,201
31181,1195,10/31/2006,11,62
31182,1009,10/14/2006,9,79
31183,1268,9/21/2006,14,102
31184,238,10/21/2006,6,72
31185,1237,10/25/2006,14,68
31186,1019,10/1/2006,11,92
31187,1049,8/16/2006,11,138
31188,999,10/23/2006,10,70
31189,549,8/11/2006,5,143
31190,1503,11/24/2006,13,38
31191,1323,10/18/2005,13,440
31192,646,3/21/2006,8,286
31193,1391,12/2/2005,11,395
31194,1100,9/18/2006,11,105
31195,654,9/28/2005,7,460
31196,797,10/21/2005,8,437
31197,820,8/6/2006,11,148
31198,840,5/30/2006,8,216
31199,977,8/22/2006,11,132
31200,171,9/26/2005,3,462
31201,1231,11/15/2006,10,47
31202,1184,12/16/2006,12,16
31203,899,9/10/2006,7,113
31204,720,6/18/2006,8,197
31205,856,9/23/2006,10,100
31206,2206,12/10/2006,20,22
31207,263,5/20/2005,3,591
31208,1589,9/29/2006,18,94
31209,1372,7/21/2006,11,164
31210,833,11/17/2005,9,410
31211,517,8/20/2006,9,134
31212,1215,11/26/2006,12,36
31213,243,3/18/2006,3,289
31214,938,11/29/2006,8,33
31215,798,10/14/2006,11,79
31216,1378,11/3/2006,12,59
31217,986,11/19/2005,10,408
31218,1096,1/22/2006,13,344
31219,952,6/10/2006,8,205
31220,915,10/15/2006,11,78
31221,488,9/6/2006,6,117
31222,616,5/21/2006,11,225
31223,559,7/20/2006,8,165
31224,1202,6/18/2006,12,197
31225,1303,10/27/2006,12,66
31226,118,8/7/2005,3,512
31227,1231,7/12/2006,13,173
31228,1371,11/22/2005,11,405
31229,857,8/23/2006,9,131
31230,788,2/19/2006,9,316
31231,1099,10/14/2006,12,79
31232,1010,8/15/2006,10,139
31233,1152,7/10/2006,11,175
31234,692,9/19/2006,8,104
31235,1111,5/2/2006,9,244
31236,1154,8/2/2006,13,152
31237,758,11/6/2006,9,56
31238,1155,10/9/2006,11,84
31239,951,7/21/2006,13,164
31240,469,11/9/2005,7,418
31241,831,1/7/2006,7,359
31242,912,5/15/2006,9,231
31243,573,12/10/2005,6,387
31244,1091,10/20/2006,10,73
31245,1202,11/17/2006,13,45
31246,1298,11/17/2006,16,45
31247,1932,9/4/2006,23,119
31248,965,12/11/2006,13,21
31249,1045,10/26/2006,13,67
31250,859,9/14/2006,9,109
31251,1872,11/2/2006,14,60
31252,216,3/16/2006,3,291
31253,834,12/31/2005,6,366
31254,1001,6/18/2006,10,197
31255,1534,11/1/2006,15,61
31256,246,1/12/2006,4,354
31257,1110,9/22/2006,12,101
31258,1363,9/15/2006,14,108
31259,1329,10/21/2005,14,437
31260,1149,8/6/2006,10,148
31261,767,9/28/2006,5,95
31262,927,12/11/2006,13,21
31263,940,7/22/2006,11,163
31264,682,12/11/2005,8,386
31265,841,8/23/2006,10,131
31266,1018,8/24/2006,10,130
31267,956,9/18/2006,10,105
31268,1061,9/4/2006,11,119
31269,1150,3/18/2006,9,289
31270,853,11/4/2005,8,423
31271,698,8/19/2006,8,135
31272,847,11/26/2005,9,401
31273,427,6/23/2006,7,192
31274,554,9/22/2005,7,466
31275,616,8/1/2006,8,153
31276,445,10/12/2005,8,446
31277,1704,9/23/2006,19,100
31278,1337,8/21/2006,17,133
31279,1462,9/15/2006,12,108
31280,483,5/26/2005,6,585
31281,770,11/7/2006,8,55
31282,608,11/23/2006,8,39
31283,1569,9/11/2006,17,112
31284,971,5/9/2006,9,237
31285,357,8/4/2006,7,150
31286,530,6/22/2006,5,193
31287,772,5/26/2006,8,220
31288,816,10/6/2006,9,87
31289,730,11/3/2006,7,59
31290,1259,9/19/2006,14,104
31291,986,3/5/2006,10,302
31292,412,7/9/2005,6,541
31293,487,1/29/2006,4,337
31294,879,10/8/2006,8,85
31295,1054,10/19/2006,8,74
31296,913,8/29/2006,11,125
31297,496,8/21/2006,6,133
31298,1269,6/21/2006,15,194
31299,668,7/5/2006,10,180
31300,576,6/8/2006,8,207
31301,1285,7/15/2006,12,170
31302,726,12/3/2006,8,29
31303,832,5/2/2006,10,244
31304,306,4/26/2006,4,250
31305,658,10/2/2006,11,91
31306,1385,7/12/2006,12,173
31307,368,3/22/2006,4,285
31308,1015,4/6/2006,11,270
31309,542,7/10/2006,6,175
31310,513,4/5/2006,7,271
31311,695,12/27/2005,7,370
31312,450,3/16/2006,9,291
31313,635,8/25/2005,6,494
31314,1123,2/8/2006,10,327
31315,907,12/29/2006,12,3
31316,937,4/13/2006,9,263
31317,722,5/7/2006,10,239
31318,1804,3/21/2006,15,286
31319,683,6/24/2006,8,191
31320,1221,9/13/2006,11,110
31321,789,8/27/2006,6,127
31322,1084,2/10/2006,9,325
31323,442,10/20/2006,6,73
31324,637,6/1/2005,6,579
31325,1416,10/1/2006,13,92
31326,873,10/29/2006,9,64
31327,826,6/1/2006,9,214
31328,522,6/12/2006,9,203
31329,1090,9/15/2006,11,108
31330,1072,10/15/2006,14,78
31331,971,10/12/2006,10,81
31332,833,8/20/2006,8,134
31333,1280,9/29/2006,13,94
31334,694,6/27/2006,7,188
31335,973,9/10/2006,10,113
31336,778,8/21/2005,6,498
31337,704,4/13/2006,9,263
31338,636,1/17/2006,6,349
31339,1138,4/30/2006,8,246
31340,1030,11/16/2006,11,46
31341,1382,11/14/2006,13,48
31342,573,12/15/2005,8,382
31343,802,4/27/2006,5,249
31344,893,7/30/2006,11,155
31345,1333,8/30/2006,15,124
31346,1154,8/14/2006,10,140
31347,1345,6/27/2006,12,188
31348,682,6/24/2006,7,191
31349,586,7/20/2006,8,165
31350,502,2/25/2006,7,310
31351,1787,6/8/2006,14,207
31352,892,12/26/2006,9,6
31353,424,4/17/2006,6,259
31354,1081,6/26/2006,10,189
31355,1265,10/16/2006,11,77
31356,890,8/7/2006,11,147
31357,1542,11/9/2006,16,53
31358,1162,8/9/2006,13,145
31359,2004,6/17/2006,19,198
31360,995,5/8/2006,8,238
31361,1113,6/18/2006,11,197
31362,1079,7/27/2006,10,158
31363,1534,7/1/2006,13,184
31364,1109,5/6/2006,9,240
31365,814,5/26/2006,11,220
31366,688,11/22/2006,6,40
31367,1106,10/31/2006,15,62
31368,343,1/20/2006,4,346
31369,650,8/29/2006,8,125
31370,813,8/21/2005,9,498
31371,1053,10/7/2006,9,86
31372,639,6/4/2006,8,211
31373,844,1/9/2006,6,357
31374,912,9/2/2006,9,121
31375,402,5/19/2006,5,227
31376,897,9/6/2006,10,117
31377,1268,8/15/2006,12,139
31378,610,4/14/2005,6,627
31379,441,12/10/2005,5,387
31380,716,7/22/2006,7,163
31381,998,7/6/2006,13,179
31382,885,11/8/2006,9,54
31383,876,6/10/2006,10,205
31384,292,4/15/2005,4,626
31385,815,4/8/2006,10,268
31386,309,7/16/2006,3,169
31387,926,7/24/2005,8,526
31388,773,12/25/2005,8,372
31389,980,12/23/2006,12,9
31390,954,7/2/2006,8,183
31391,766,9/2/2006,8,121
31392,962,11/26/2006,12,36
31393,1152,10/18/2006,13,75
31394,541,7/25/2006,9,160
31395,676,11/6/2005,6,421
31396,673,10/16/2005,7,442
31397,927,6/7/2006,10,208
31398,1389,10/1/2006,9,92
31399,544,11/11/2006,6,51
31400,525,8/8/2006,8,146
31401,1705,9/6/2006,16,117
31402,938,9/21/2006,8,102
31403,578,12/30/2006,8,2
31404,1774,6/1/2006,15,214
31405,735,12/7/2005,9,390
31406,1227,7/15/2006,13,170
31407,1054,9/1/2006,12,122
31408,464,9/24/2005,8,464
31409,1244,2/1/2006,13,334
31410,1346,3/13/2006,12,294
31411,1518,11/18/2006,15,44
31412,1596,7/15/2006,14,170
31413,779,7/25/2006,10,160
31414,1207,7/24/2006,13,161
31415,1660,8/24/2006,16,130
31416,751,5/7/2006,10,239
31417,1015,11/30/2006,11,32
31418,1281,9/15/2006,12,108
31419,1018,7/7/2006,13,178
31420,639,1/25/2006,8,341
31421,1548,9/7/2006,14,116
31422,419,5/7/2006,4,239
31423,671,6/21/2005,5,559
31424,620,9/4/2006,6,119
31425,1244,7/24/2006,12,161
31426,896,5/19/2006,9,227
31427,1379,7/13/2006,14,172
31428,1318,12/5/2006,14,27
31429,1370,1/28/2006,10,338
31430,462,6/10/2006,4,205
31431,1096,10/28/2006,12,65
31432,645,8/20/2006,7,134
31433,1417,8/30/2006,12,124
31434,967,5/8/2006,12,238
31435,794,10/27/2006,7,66
31436,678,11/23/2005,9,404
31437,883,5/25/2006,10,221
31438,942,11/27/2006,8,35
31439,691,3/3/2006,8,304
31440,320,2/20/2006,8,315
31441,220,10/21/2006,3,72
31442,665,9/3/2006,11,120
31443,1173,8/19/2006,13,135
31444,345,5/18/2006,4,228
31445,1486,9/7/2006,16,116
31446,668,6/30/2006,7,185
31447,703,10/7/2006,8,86
31448,1737,5/25/2006,14,221
31449,625,6/25/2006,5,190
31450,476,10/10/2006,6,83
31451,1348,7/8/2006,13,177
31452,583,7/2/2006,7,183
31453,805,8/1/2006,9,153
31454,662,12/7/2005,6,390
31455,1225,7/13/2006,10,172
31456,731,9/8/2006,11,115
31457,1428,11/13/2006,14,49
31458,615,5/31/2006,8,215
31459,1329,12/24/2006,13,8
31460,1448,8/11/2006,16,143
31461,540,8/21/2006,8,133
31462,1047,4/10/2006,9,266
31463,794,6/16/2006,12,199
31464,821,6/20/2006,8,195
31465,1699,6/11/2006,14,204
31466,1040,2/12/2006,9,323
31467,132,5/23/2005,2,588
31468,821,3/8/2006,8,299
31469,1024,9/15/2006,9,108
31470,734,6/6/2006,9,209
31471,1035,3/20/2006,12,287
31472,1637,11/23/2006,15,39
31473,642,8/10/2006,10,144
31474,909,6/23/2006,10,192
31475,1030,11/5/2005,7,422
31476,556,7/28/2006,5,157
31477,365,3/24/2006,3,283
31478,1177,7/10/2006,11,175
31479,811,6/20/2006,9,195
31480,941,3/30/2006,10,277
31481,719,11/11/2006,8,51
31482,1201,6/19/2006,15,196
31483,1068,8/30/2006,11,124
31484,1313,12/16/2006,12,16
31485,1016,1/19/2006,8,347
31486,863,7/20/2006,10,165
31487,578,6/9/2006,9,206
31488,1035,7/5/2006,12,180
31489,754,1/29/2006,6,337
31490,752,12/15/2006,10,17
31491,809,8/15/2006,9,139
31492,1706,11/21/2005,16,406
31493,1218,10/31/2005,17,427
31494,1152,12/17/2006,13,15
31495,1317,11/11/2006,13,51
31496,717,5/20/2006,7,226
31497,1254,8/2/2006,11,152
31498,1241,7/20/2006,10,165
31499,795,5/11/2006,6,235
31500,1121,10/6/2006,11,87
31501,424,6/26/2006,7,189
31502,867,7/6/2006,10,179
31503,993,2/23/2006,12,312
31504,1309,1/31/2006,11,335
31505,697,5/29/2006,6,217
31506,795,5/25/2006,10,221
31507,1098,9/12/2006,8,111
31508,1305,11/18/2006,14,44
31509,509,1/5/2006,6,361
31510,1912,7/8/2006,20,177
31511,501,5/20/2005,5,591
31512,1048,11/3/2005,9,424
31513,392,7/24/2006,5,161
31514,1068,8/30/2006,11,124
31515,1165,9/22/2006,8,101
31516,670,10/4/2006,7,89
31517,739,1/10/2006,6,356
31518,713,8/24/2006,9,130
31519,679,4/19/2005,6,622
31520,995,5/24/2006,8,222
31521,891,5/14/2006,11,232
31522,1630,7/30/2006,14,155
31523,1069,11/4/2006,12,58
31524,690,9/17/2006,7,106
31525,930,11/27/2006,10,35
31526,1151,11/6/2006,11,56
31527,1007,3/26/2006,9,281
31528,567,8/9/2006,6,145
31529,1123,3/20/2006,10,287
31530,924,9/6/2006,8,117
31531,321,7/6/2006,5,179
31532,915,10/16/2006,8,77
31533,722,6/15/2006,7,200
31534,877,7/19/2006,9,166
31535,748,12/26/2005,8,371
31536,1525,11/17/2006,16,45
31537,591,12/13/2006,6,19
31538,970,11/21/2006,10,41
31539,496,6/27/2006,6,188
31540,649,6/10/2006,5,205
31541,1507,9/27/2006,16,96
